0.1 : 0.949, 3.898, 4.327, 18.470, 2.599, 124.847, 0.768
0.2 : 0.893, 3.377, 4.063, 18.758, 2.605, 124.842, 0.751
0.3 : 0.853, 4.408, 3.899, 19.595, 2.609, 124.838, 0.739
0.4 : 0.825, 3.006, 3.750, 18.818, 2.609, 124.834, 0.730
0.5 : 0.802, 3.312, 3.647, 18.168, 2.610, 124.831, 0.723
0.6 : 0.779, 2.828, 3.572, 18.423, 2.612, 124.829, 0.715
0.7 : 0.760, 2.767, 3.502, 54.065, 2.614, 124.826, 0.708
0.8 : 0.742, 2.794, 3.451, 54.393, 2.615, 124.824, 0.701
1.0 : 0.713, 4.083, 3.345, 17.948, 2.616, 124.820, 0.691
1.1 : 0.699, 2.828, 3.312, 19.160, 2.617, 124.818, 0.685
1.2 : 0.688, 2.766, 3.257, 19.451, 2.618, 124.816, 0.680
1.4 : 0.664, 2.815, 3.216, 18.930, 2.620, 124.813, 0.671
1.6 : 0.644, 2.871, 3.154, 18.668, 2.622, 124.810, 0.662
1.8 : 0.624, 3.943, 3.133, 19.270, 2.623, 124.807, 0.654
2.0 : 0.616, 4.722, 3.054, 18.084, 2.614, 124.804, 0.655
3.0 : 0.546, 2.755, 2.945, 20.653, 2.620, 124.792, 0.623
4.0 : 0.495, 3.514, 2.889, 19.192, 2.624, 124.781, 0.598
5.0 : 0.458, 2.363, 2.856, 0.001, 2.620, 124.772, 0.583
6.0 : 0.425, 2.453, 2.836, 0.001, 2.622, 124.764, 0.565
7.0 : 0.406, 1.723, 2.849, 0.001, 2.605, 124.756, 0.567
8.0 : 0.384, 1.772, 2.843, 0.001, 2.604, 124.749, 0.556
9.0 : 0.362, 1.820, 2.910, 0.001, 2.600, 124.743, 0.547
10.0 : 0.347, 1.868, 2.868, 0.001, 2.602, 124.736, 0.539
noint : 1.060, 1.709, 6.581, 7.266, 2.601, 124.859, 0.795
alpha : -0.03876, 0.0078053
