0.1 : 0.819, 1.405, 6.291, 254.467, 3.751, 124.876, 0.893
0.2 : 0.798, 1.471, 5.891, 281.059, 3.736, 124.876, 0.886
0.3 : 0.781, 1.509, 5.645, 299.324, 3.725, 124.875, 0.879
0.4 : 0.766, 1.557, 5.473, 296.161, 3.716, 124.875, 0.873
0.5 : 0.749, 1.515, 5.385, 279.651, 3.712, 124.875, 0.864
0.6 : 0.737, 1.543, 5.284, 271.681, 3.705, 124.875, 0.859
0.7 : 0.726, 1.572, 5.194, 272.680, 3.699, 124.875, 0.855
0.8 : 0.709, 1.460, 5.214, 136.568, 3.699, 124.875, 0.844
1.0 : 0.689, 1.478, 5.114, 264.539, 3.689, 124.874, 0.835
1.1 : 0.680, 1.488, 5.077, 248.168, 3.685, 124.874, 0.831
1.2 : 0.672, 1.498, 5.042, 255.470, 3.680, 124.874, 0.827
1.4 : 0.667, 2.110, 4.873, 0.709, 3.658, 124.874, 0.830
1.6 : 0.652, 2.136, 4.830, 0.705, 3.651, 124.874, 0.822
1.8 : 0.638, 2.160, 4.793, 0.717, 3.645, 124.874, 0.815
2.0 : 0.625, 2.182, 4.753, 0.731, 3.638, 124.873, 0.808
3.0 : 0.573, 2.278, 4.581, 0.949, 3.610, 124.873, 0.779
4.0 : 0.530, 1.840, 4.411, 0.091, 3.595, 124.872, 0.747
5.0 : 0.502, 1.968, 4.238, 0.001, 3.569, 124.871, 0.729
6.0 : 0.477, 2.011, 4.101, 0.001, 3.546, 124.871, 0.713
7.0 : 0.456, 2.052, 3.990, 0.001, 3.525, 124.870, 0.698
8.0 : 0.437, 2.093, 3.890, 0.001, 3.504, 124.870, 0.685
9.0 : 0.420, 2.136, 3.816, 0.001, 3.485, 124.870, 0.673
10.0 : 0.407, 2.067, 3.763, 0.001, 3.459, 124.869, 0.667
noint : 0.872, 1.364, 7.940, 11.250, 3.786, 124.877, 0.913
alpha : -0.00238, 0.0057820
