0.1 : 0.873, 1.463, 8.557, 6.762, 2.333, 124.879, 0.842
0.2 : 0.867, 1.454, 8.293, 7.968, 2.334, 124.877, 0.840
0.3 : 0.862, 1.446, 8.117, 9.220, 2.335, 124.876, 0.838
0.4 : 0.858, 1.440, 7.996, 10.726, 2.335, 124.874, 0.837
0.5 : 0.854, 1.434, 7.906, 12.412, 2.336, 124.873, 0.835
0.6 : 0.850, 1.424, 7.835, 14.861, 2.337, 124.872, 0.833
0.7 : 0.846, 1.411, 7.759, 19.319, 2.338, 124.871, 0.832
0.8 : 0.844, 1.418, 7.676, 18.958, 2.338, 124.870, 0.831
1.0 : 0.838, 1.397, 7.552, 40.069, 2.339, 124.868, 0.829
1.1 : 0.836, 1.395, 7.492, 54.882, 2.340, 124.867, 0.828
1.2 : 0.834, 1.396, 7.434, 69.969, 2.340, 124.866, 0.828
1.4 : 0.831, 1.403, 7.322, 90.596, 2.340, 124.865, 0.827
1.6 : 0.828, 1.410, 7.222, 110.695, 2.341, 124.864, 0.826
1.8 : 0.825, 1.418, 7.131, 126.339, 2.341, 124.862, 0.825
2.0 : 0.823, 1.427, 7.046, 143.262, 2.341, 124.861, 0.824
3.0 : 0.811, 1.458, 6.733, 90.976, 2.343, 124.856, 0.820
4.0 : 0.802, 1.493, 6.477, 108.949, 2.344, 124.851, 0.818
5.0 : 0.795, 1.532, 6.265, 109.091, 2.344, 124.847, 0.816
6.0 : 0.788, 1.574, 6.095, 119.799, 2.345, 124.844, 0.814
7.0 : 0.782, 1.614, 5.943, 219.352, 2.345, 124.841, 0.812
8.0 : 0.777, 1.655, 5.827, 268.435, 2.346, 124.837, 0.810
9.0 : 0.771, 1.700, 5.719, 239.797, 2.346, 124.835, 0.809
10.0 : 0.764, 1.683, 5.653, 120.950, 2.348, 124.832, 0.806
noint : 0.888, 1.477, 9.276, 5.037, 2.330, 124.885, 0.848
alpha : -0.01674, 0.0050918
