0.1 : 0.885, 1.542, 5.846, 9.727, 2.757, 124.882, 0.809
0.2 : 0.879, 1.596, 5.171, 15.296, 2.754, 124.872, 0.804
0.3 : 0.878, 1.741, 4.728, 10.822, 2.749, 124.865, 0.803
0.4 : 0.875, 2.059, 4.435, 2.459, 2.746, 124.859, 0.802
0.5 : 0.869, 2.217, 4.231, 1.468, 2.746, 124.853, 0.798
0.6 : 0.862, 2.278, 4.075, 1.434, 2.747, 124.849, 0.794
0.7 : 0.855, 2.524, 3.952, 0.166, 2.749, 124.844, 0.789
0.8 : 0.849, 2.556, 3.839, 0.153, 2.750, 124.840, 0.785
1.0 : 0.838, 2.619, 3.657, 0.134, 2.752, 124.832, 0.779
1.1 : 0.833, 2.701, 3.578, 0.054, 2.753, 124.829, 0.775
1.2 : 0.828, 2.739, 3.510, 0.035, 2.755, 124.825, 0.773
1.4 : 0.820, 2.770, 3.383, 0.052, 2.756, 124.819, 0.767
1.6 : 0.820, 3.022, 3.243, 40.016, 2.751, 124.813, 0.768
1.8 : 0.813, 3.078, 3.152, 39.868, 2.753, 124.807, 0.763
2.0 : 0.808, 4.246, 3.066, 30.866, 2.754, 124.802, 0.760
3.0 : 0.788, 14.416, 2.744, 33.828, 2.755, 124.779, 0.747
4.0 : 0.774, 2.883, 2.521, 45.320, 2.754, 124.760, 0.739
5.0 : 0.768, 2.645, 2.345, 0.031, 2.750, 124.742, 0.736
6.0 : 0.755, 4.024, 2.223, 1.701, 2.753, 124.727, 0.728
7.0 : 0.744, 3.078, 2.125, 12.607, 2.757, 124.713, 0.721
8.0 : 0.734, 3.112, 2.045, 30.633, 2.760, 124.699, 0.714
9.0 : 0.727, 3.262, 1.967, 34.779, 2.764, 124.687, 0.708
10.0 : 0.719, 2.736, 1.905, 1.705, 2.768, 124.675, 0.703
noint : 0.899, 1.463, 8.965, 5.138, 2.765, 124.905, 0.820
alpha : -0.07260, 0.0069658
