0.1 : 0.786, 1.332, 13.055, 8.237, 3.895, 124.858, 0.952
0.2 : 0.782, 1.332, 12.499, 9.723, 3.888, 124.854, 0.952
0.3 : 0.780, 1.332, 11.991, 11.223, 3.883, 124.852, 0.952
0.4 : 0.779, 1.333, 11.564, 13.017, 3.878, 124.850, 0.952
0.5 : 0.777, 1.332, 11.178, 15.135, 3.875, 124.848, 0.952
0.6 : 0.777, 1.331, 10.849, 18.112, 3.872, 124.846, 0.952
0.7 : 0.776, 1.330, 10.565, 22.305, 3.869, 124.844, 0.952
0.8 : 0.775, 1.332, 10.277, 26.256, 3.865, 124.843, 0.952
1.0 : 0.773, 1.320, 9.893, 73.293, 3.861, 124.840, 0.952
1.1 : 0.772, 1.324, 9.717, 110.797, 3.858, 124.839, 0.952
1.2 : 0.771, 1.330, 9.560, 143.659, 3.855, 124.837, 0.953
1.4 : 0.770, 1.344, 9.299, 195.177, 3.850, 124.835, 0.953
1.6 : 0.769, 1.356, 9.089, 225.632, 3.846, 124.833, 0.954
1.8 : 0.768, 1.370, 8.896, 255.804, 3.842, 124.831, 0.954
2.0 : 0.766, 1.381, 8.722, 271.442, 3.838, 124.829, 0.955
3.0 : 0.762, 1.438, 7.949, 297.877, 3.821, 124.821, 0.957
4.0 : 0.760, 1.509, 7.340, 280.109, 3.805, 124.814, 0.960
5.0 : 0.761, 1.622, 6.890, 299.971, 3.787, 124.807, 0.965
6.0 : 0.759, 1.738, 6.597, 280.599, 3.773, 124.802, 0.968
7.0 : 0.754, 1.838, 6.388, 274.585, 3.764, 124.797, 0.969
8.0 : 0.746, 1.824, 6.275, 9.680, 3.759, 124.792, 0.966
9.0 : 0.742, 1.843, 6.088, 16.298, 3.751, 124.787, 0.966
10.0 : 0.737, 1.857, 5.957, 55.786, 3.746, 124.783, 0.965
noint : 0.787, 1.322, 16.840, 6.316, 3.912, 124.866, 0.950
alpha : -0.02634, 0.0039088
