0.1 : 0.918, 2.133, 4.960, 7.833, 3.409, 124.846, 0.963
0.2 : 0.899, 2.492, 4.487, 0.674, 3.392, 124.840, 0.955
0.3 : 0.885, 3.800, 4.204, 53.206, 3.378, 124.835, 0.949
0.4 : 0.871, 2.624, 4.010, 0.708, 3.368, 124.831, 0.943
0.5 : 0.860, 3.431, 3.859, 123.786, 3.358, 124.827, 0.938
0.6 : 0.856, 4.258, 3.689, 162.231, 3.342, 124.824, 0.939
0.7 : 0.848, 5.290, 3.586, 160.613, 3.333, 124.821, 0.935
0.8 : 0.839, 4.225, 3.495, 158.230, 3.325, 124.818, 0.932
1.0 : 0.824, 4.359, 3.348, 153.974, 3.309, 124.813, 0.926
1.1 : 0.817, 3.767, 3.289, 149.291, 3.302, 124.811, 0.923
1.2 : 0.809, 3.389, 3.237, 137.307, 3.295, 124.809, 0.920
1.4 : 0.796, 5.409, 3.146, 118.913, 3.282, 124.805, 0.915
1.6 : 0.783, 3.009, 3.074, 129.577, 3.271, 124.801, 0.910
1.8 : 0.771, 3.304, 3.016, 136.087, 3.259, 124.797, 0.905
2.0 : 0.772, 3.272, 2.904, 10.002, 3.237, 124.794, 0.911
3.0 : 0.722, 1.754, 2.719, 37.818, 3.190, 124.778, 0.892
4.0 : 0.678, 1.944, 2.563, 0.001, 3.160, 124.766, 0.867
5.0 : 0.645, 1.988, 2.470, 0.001, 3.124, 124.754, 0.853
6.0 : 0.618, 2.026, 2.382, 0.001, 3.091, 124.744, 0.842
7.0 : 0.591, 2.080, 2.307, 0.001, 3.070, 124.735, 0.825
8.0 : 0.568, 2.101, 2.281, 0.001, 3.032, 124.726, 0.822
9.0 : 0.543, 2.139, 2.268, 0.001, 3.006, 124.718, 0.811
10.0 : 0.519, 2.159, 2.264, 0.001, 2.979, 124.710, 0.802
noint : 0.931, 1.672, 7.813, 4.729, 3.468, 124.861, 0.970
alpha : -0.04756, 0.0063800
