0.1 : 0.920, 1.547, 4.303, 28.397, 1.968, 124.906, 0.824
0.2 : 0.888, 1.607, 4.080, 299.967, 1.964, 124.908, 0.816
0.3 : 0.862, 1.690, 3.967, 299.999, 1.961, 124.909, 0.809
0.4 : 0.840, 1.735, 3.899, 300.000, 1.959, 124.910, 0.803
0.5 : 0.819, 1.681, 3.853, 299.981, 1.958, 124.911, 0.796
0.6 : 0.803, 1.723, 3.802, 299.998, 1.956, 124.912, 0.791
0.7 : 0.788, 1.761, 3.763, 300.000, 1.954, 124.913, 0.787
0.8 : 0.774, 1.796, 3.730, 299.999, 1.952, 124.914, 0.782
1.0 : 0.749, 1.801, 3.680, 12.563, 1.950, 124.916, 0.773
1.1 : 0.738, 1.808, 3.656, 19.633, 1.948, 124.917, 0.770
1.2 : 0.726, 1.813, 3.655, 40.438, 1.947, 124.917, 0.766
1.4 : 0.704, 1.837, 3.661, 299.988, 1.944, 124.919, 0.758
1.6 : 0.684, 1.868, 3.668, 299.997, 1.942, 124.920, 0.751
1.8 : 0.666, 1.898, 3.673, 299.999, 1.940, 124.921, 0.744
2.0 : 0.652, 2.261, 3.662, 57.258, 1.936, 124.922, 0.740
3.0 : 0.581, 1.975, 3.723, 7.996, 1.928, 124.927, 0.710
4.0 : 0.530, 2.038, 3.762, 299.907, 1.918, 124.931, 0.687
5.0 : 0.489, 2.115, 3.805, 300.000, 1.910, 124.935, 0.666
6.0 : 0.455, 2.684, 3.847, 0.002, 1.902, 124.938, 0.647
7.0 : 0.429, 2.736, 3.823, 0.050, 1.894, 124.941, 0.632
8.0 : 0.408, 43.686, 3.793, 109.691, 1.887, 124.944, 0.619
9.0 : 0.388, 3.134, 3.778, 0.001, 1.880, 124.946, 0.607
10.0 : 0.370, 3.193, 3.776, 0.001, 1.873, 124.949, 0.595
noint : 0.983, 1.448, 5.588, 7.181, 1.979, 124.901, 0.840
alpha : 0.01511, 0.0089054
