0.1 : 0.856, 1.409, 6.772, 32.770, 0.825, 124.942, 0.728
0.2 : 0.853, 1.403, 6.420, 133.355, 0.823, 124.941, 0.728
0.3 : 0.852, 1.417, 6.176, 299.633, 0.821, 124.940, 0.728
0.4 : 0.850, 1.435, 5.993, 299.997, 0.819, 124.939, 0.728
0.5 : 0.849, 1.452, 5.836, 300.000, 0.818, 124.939, 0.728
0.6 : 0.848, 1.468, 5.708, 299.999, 0.816, 124.938, 0.729
0.7 : 0.847, 1.484, 5.591, 299.998, 0.815, 124.937, 0.729
0.8 : 0.847, 1.500, 5.488, 299.998, 0.814, 124.937, 0.729
1.0 : 0.845, 1.532, 5.316, 299.999, 0.812, 124.936, 0.730
1.1 : 0.844, 1.545, 5.242, 300.000, 0.811, 124.936, 0.730
1.2 : 0.839, 1.511, 5.209, 300.000, 0.811, 124.935, 0.727
1.4 : 0.838, 1.533, 5.084, 300.000, 0.809, 124.934, 0.728
1.6 : 0.836, 1.551, 4.978, 300.000, 0.807, 124.934, 0.728
1.8 : 0.834, 1.571, 4.881, 300.000, 0.806, 124.933, 0.728
2.0 : 0.833, 1.593, 4.793, 300.000, 0.804, 124.932, 0.728
3.0 : 0.828, 1.725, 4.442, 300.000, 0.798, 124.930, 0.729
4.0 : 0.821, 1.840, 4.211, 299.999, 0.793, 124.927, 0.728
5.0 : 0.812, 1.908, 4.041, 300.000, 0.790, 124.925, 0.726
6.0 : 0.804, 1.966, 3.904, 300.000, 0.787, 124.923, 0.724
7.0 : 0.801, 5.925, 3.774, 211.318, 0.782, 124.922, 0.725
8.0 : 0.793, 7.116, 3.680, 214.637, 0.780, 124.920, 0.722
9.0 : 0.786, 12.070, 3.599, 218.017, 0.778, 124.918, 0.720
10.0 : 0.779, 7.022, 3.532, 219.981, 0.776, 124.917, 0.717
noint : 0.868, 1.460, 7.890, 9.583, 0.829, 124.945, 0.733
alpha : -0.00879, 0.0105329
