0.1 : 0.777, 1.470, 10.477, 19.158, 1.323, 124.912, 0.792
0.2 : 0.769, 1.513, 9.270, 300.000, 1.314, 124.903, 0.792
0.3 : 0.766, 1.640, 8.485, 300.000, 1.305, 124.896, 0.794
0.4 : 0.759, 1.689, 8.018, 300.000, 1.299, 124.890, 0.794
0.5 : 0.756, 1.867, 7.628, 300.000, 1.293, 124.885, 0.796
0.6 : 0.750, 1.984, 7.343, 300.000, 1.289, 124.880, 0.794
0.7 : 0.746, 2.985, 7.102, 0.001, 1.285, 124.876, 0.795
0.8 : 0.740, 2.446, 6.906, 0.001, 1.282, 124.872, 0.793
1.0 : 0.729, 2.500, 6.587, 0.001, 1.277, 124.865, 0.790
1.1 : 0.724, 2.518, 6.460, 0.001, 1.274, 124.861, 0.788
1.2 : 0.719, 2.530, 6.341, 0.001, 1.272, 124.858, 0.786
1.4 : 0.710, 2.552, 6.141, 0.001, 1.268, 124.852, 0.783
1.6 : 0.701, 2.568, 5.966, 0.001, 1.264, 124.846, 0.780
1.8 : 0.693, 2.585, 5.815, 0.001, 1.261, 124.841, 0.777
2.0 : 0.686, 2.602, 5.690, 0.001, 1.258, 124.835, 0.774
3.0 : 0.653, 4.648, 5.235, 57.415, 1.245, 124.813, 0.762
4.0 : 0.626, 5.757, 4.957, 58.319, 1.234, 124.794, 0.751
5.0 : 0.603, 4.801, 4.765, 57.475, 1.225, 124.778, 0.741
6.0 : 0.582, 12.356, 4.631, 56.702, 1.217, 124.763, 0.732
7.0 : 0.564, 11.645, 4.527, 47.954, 1.211, 124.749, 0.724
8.0 : 0.553, 1.854, 4.533, 0.001, 1.198, 124.736, 0.729
9.0 : 0.538, 1.874, 4.483, 0.001, 1.192, 124.724, 0.723
10.0 : 0.523, 1.894, 4.463, 0.001, 1.186, 124.713, 0.717
noint : 0.799, 1.468, 16.946, 4.112, 1.343, 124.935, 0.796
alpha : -0.07012, 0.0129089
