0.1 : 0.846, 1.372, 234.255, 13.069, 5.695, 124.823, 1.174
0.2 : 0.844, 1.382, 151.022, 14.499, 5.688, 124.818, 1.176
0.3 : 0.841, 1.388, 133.760, 16.176, 5.682, 124.814, 1.177
0.4 : 0.840, 1.399, 116.586, 16.864, 5.676, 124.811, 1.178
0.5 : 0.839, 1.408, 105.256, 17.617, 5.672, 124.808, 1.179
0.6 : 0.838, 1.411, 90.889, 19.618, 5.668, 124.805, 1.180
0.7 : 0.838, 1.419, 79.864, 20.568, 5.665, 124.802, 1.181
0.8 : 0.838, 1.426, 67.762, 21.751, 5.662, 124.800, 1.182
1.0 : 0.845, 1.444, 37.881, 23.206, 5.655, 124.796, 1.185
1.1 : 0.841, 1.444, 43.152, 27.040, 5.653, 124.794, 1.185
1.2 : 0.843, 1.453, 37.445, 27.073, 5.651, 124.792, 1.185
1.4 : 0.847, 1.468, 29.120, 28.863, 5.646, 124.788, 1.187
1.6 : 0.845, 1.475, 28.530, 35.246, 5.642, 124.785, 1.188
1.8 : 0.846, 1.483, 25.802, 43.790, 5.638, 124.782, 1.189
2.0 : 0.845, 1.486, 25.190, 68.651, 5.634, 124.779, 1.190
3.0 : 0.846, 1.542, 18.987, 205.401, 5.619, 124.766, 1.194
4.0 : 0.846, 1.603, 16.193, 296.337, 5.607, 124.755, 1.197
5.0 : 0.848, 1.661, 13.741, 299.542, 5.597, 124.745, 1.199
6.0 : 0.844, 1.723, 12.996, 291.733, 5.589, 124.736, 1.201
7.0 : 0.845, 1.781, 11.652, 300.000, 5.582, 124.728, 1.202
8.0 : 0.841, 1.786, 11.148, 38.763, 5.578, 124.721, 1.202
9.0 : 0.839, 1.812, 10.618, 140.962, 5.573, 124.714, 1.202
10.0 : 0.839, 1.856, 9.856, 299.900, 5.569, 124.707, 1.203
noint : 0.856, 1.347, 213.841, 10.811, 5.715, 124.836, 1.171
alpha : -0.04077, 0.0036530
