0.1 : 0.918, 1.508, 8.333, 300.000, 5.360, 124.834, 1.107
0.2 : 0.897, 1.558, 7.451, 300.000, 5.339, 124.828, 1.101
0.3 : 0.883, 1.649, 6.862, 300.000, 5.319, 124.824, 1.099
0.4 : 0.870, 1.710, 6.489, 300.000, 5.305, 124.820, 1.095
0.5 : 0.855, 1.684, 6.269, 300.000, 5.297, 124.817, 1.090
0.6 : 0.858, 5.425, 5.839, 30.693, 5.265, 124.814, 1.098
0.7 : 0.846, 4.438, 5.704, 39.648, 5.260, 124.811, 1.093
0.8 : 0.834, 4.788, 5.598, 39.383, 5.254, 124.809, 1.088
1.0 : 0.813, 5.266, 5.404, 39.380, 5.244, 124.804, 1.080
1.1 : 0.804, 4.301, 5.318, 43.631, 5.239, 124.802, 1.076
1.2 : 0.795, 4.189, 5.244, 45.600, 5.234, 124.800, 1.072
1.4 : 0.779, 5.270, 5.120, 40.065, 5.223, 124.796, 1.066
1.6 : 0.749, 1.528, 5.201, 300.000, 5.235, 124.792, 1.045
1.8 : 0.737, 1.542, 5.088, 300.000, 5.224, 124.789, 1.041
2.0 : 0.726, 1.555, 4.996, 300.000, 5.214, 124.786, 1.036
3.0 : 0.691, 2.598, 4.535, 0.001, 5.148, 124.772, 1.031
4.0 : 0.651, 4.054, 4.343, 38.909, 5.116, 124.760, 1.011
5.0 : 0.613, 2.079, 4.229, 0.089, 5.096, 124.750, 0.989
6.0 : 0.585, 2.166, 4.125, 0.001, 5.069, 124.740, 0.974
7.0 : 0.561, 2.202, 4.037, 0.001, 5.042, 124.732, 0.962
8.0 : 0.540, 2.235, 3.979, 0.001, 5.017, 124.724, 0.951
9.0 : 0.520, 2.267, 3.937, 0.001, 4.993, 124.716, 0.941
10.0 : 0.502, 2.299, 3.900, 0.001, 4.972, 124.709, 0.931
noint : 0.959, 1.372, 13.838, 24.476, 5.416, 124.848, 1.116
alpha : -0.04394, 0.0055835
