0.1 : 0.855, 1.656, 9.742, 5.603, 0.858, 124.942, 0.771
0.2 : 0.861, 1.632, 8.504, 8.088, 0.856, 124.940, 0.772
0.3 : 0.864, 1.608, 7.840, 12.319, 0.855, 124.939, 0.772
0.4 : 0.868, 1.602, 7.326, 17.415, 0.853, 124.938, 0.773
0.5 : 0.870, 1.588, 6.962, 30.047, 0.852, 124.937, 0.773
0.6 : 0.873, 1.588, 6.615, 53.213, 0.850, 124.936, 0.774
0.7 : 0.875, 1.599, 6.402, 62.983, 0.849, 124.935, 0.775
0.8 : 0.878, 1.608, 6.163, 103.590, 0.848, 124.934, 0.776
1.0 : 0.882, 1.637, 5.796, 102.039, 0.846, 124.933, 0.777
1.1 : 0.884, 1.647, 5.637, 139.073, 0.845, 124.932, 0.778
1.2 : 0.882, 1.586, 5.530, 247.409, 0.845, 124.932, 0.776
1.4 : 0.885, 1.604, 5.303, 299.071, 0.843, 124.931, 0.777
1.6 : 0.888, 1.612, 5.099, 296.169, 0.842, 124.930, 0.778
1.8 : 0.890, 1.623, 4.924, 298.187, 0.840, 124.929, 0.778
2.0 : 0.892, 1.636, 4.765, 276.332, 0.839, 124.928, 0.779
3.0 : 0.915, 2.214, 4.087, 1.807, 0.830, 124.924, 0.789
4.0 : 0.921, 2.249, 3.718, 2.619, 0.826, 124.920, 0.791
5.0 : 0.926, 2.608, 3.444, 0.047, 0.822, 124.917, 0.792
6.0 : 0.930, 2.687, 3.240, 0.001, 0.819, 124.915, 0.793
7.0 : 0.932, 2.497, 3.065, 0.359, 0.816, 124.912, 0.792
8.0 : 0.934, 2.441, 2.939, 0.693, 0.813, 124.910, 0.793
9.0 : 0.936, 2.706, 2.814, 0.001, 0.810, 124.907, 0.793
10.0 : 0.939, 2.717, 2.688, 0.001, 0.808, 124.905, 0.793
noint : 0.836, 1.696, 15.661, 3.285, 0.864, 124.946, 0.769
alpha : -0.01282, 0.0107236
