0.1 : 0.757, 1.270, 7.590, 11.199, 2.414, 124.881, 0.918
0.2 : 0.744, 1.305, 6.852, 10.795, 2.408, 124.877, 0.912
0.3 : 0.734, 1.308, 6.415, 15.640, 2.403, 124.874, 0.908
0.4 : 0.725, 1.310, 6.093, 26.266, 2.399, 124.872, 0.904
0.5 : 0.717, 1.306, 5.843, 85.950, 2.396, 124.870, 0.900
0.6 : 0.711, 1.322, 5.629, 299.163, 2.393, 124.868, 0.897
0.7 : 0.705, 1.344, 5.454, 299.990, 2.390, 124.866, 0.895
0.8 : 0.699, 1.363, 5.303, 299.663, 2.387, 124.865, 0.892
1.0 : 0.686, 1.387, 5.079, 12.014, 2.384, 124.862, 0.885
1.1 : 0.681, 1.392, 4.978, 13.386, 2.382, 124.860, 0.882
1.2 : 0.676, 1.396, 4.893, 15.352, 2.380, 124.859, 0.880
1.4 : 0.667, 1.406, 4.734, 20.366, 2.376, 124.857, 0.876
1.6 : 0.658, 1.415, 4.598, 29.170, 2.373, 124.854, 0.872
1.8 : 0.650, 1.422, 4.479, 62.071, 2.370, 124.852, 0.868
2.0 : 0.643, 1.433, 4.375, 252.151, 2.366, 124.850, 0.864
3.0 : 0.611, 1.523, 3.992, 300.000, 2.354, 124.841, 0.847
4.0 : 0.594, 6.865, 3.728, 154.184, 2.332, 124.834, 0.847
5.0 : 0.568, 2.517, 3.562, 1.071, 2.327, 124.827, 0.829
6.0 : 0.545, 4.105, 3.451, 66.242, 2.321, 124.821, 0.814
7.0 : 0.524, 5.761, 3.358, 58.807, 2.316, 124.816, 0.801
8.0 : 0.506, 1.674, 3.281, 298.914, 2.310, 124.810, 0.789
9.0 : 0.491, 1.717, 3.213, 267.803, 2.304, 124.806, 0.779
10.0 : 0.479, 8.386, 3.155, 53.369, 2.294, 124.801, 0.775
noint : 0.788, 1.246, 10.892, 6.367, 2.429, 124.890, 0.932
alpha : -0.02805, 0.0078042
