0.1 : 0.838, 1.280, 5.586, 39.793, 4.618, 124.866, 0.974
0.2 : 0.831, 1.316, 4.938, 299.998, 4.604, 124.862, 0.973
0.3 : 0.827, 1.367, 4.540, 300.000, 4.593, 124.860, 0.973
0.4 : 0.822, 1.414, 4.267, 300.000, 4.584, 124.857, 0.972
0.5 : 0.818, 1.463, 4.052, 300.000, 4.575, 124.855, 0.972
0.6 : 0.811, 1.460, 3.910, 300.000, 4.571, 124.854, 0.969
0.7 : 0.806, 1.498, 3.773, 300.000, 4.565, 124.852, 0.968
0.8 : 0.801, 1.515, 3.659, 299.999, 4.560, 124.850, 0.967
1.0 : 0.792, 1.556, 3.477, 299.976, 4.551, 124.848, 0.964
1.1 : 0.788, 1.583, 3.398, 299.997, 4.548, 124.846, 0.963
1.2 : 0.783, 1.608, 3.335, 299.994, 4.544, 124.845, 0.961
1.4 : 0.774, 1.657, 3.216, 300.000, 4.538, 124.843, 0.958
1.6 : 0.766, 1.705, 3.122, 299.998, 4.533, 124.840, 0.955
1.8 : 0.758, 1.757, 3.038, 300.000, 4.527, 124.838, 0.952
2.0 : 0.750, 1.807, 2.964, 300.000, 4.523, 124.836, 0.949
3.0 : 0.715, 1.849, 2.704, 299.965, 4.504, 124.828, 0.934
4.0 : 0.687, 1.877, 2.530, 15.652, 4.487, 124.821, 0.923
5.0 : 0.663, 1.965, 2.402, 298.502, 4.472, 124.814, 0.912
6.0 : 0.642, 4.416, 2.301, 112.017, 4.457, 124.809, 0.904
7.0 : 0.622, 2.792, 2.222, 137.585, 4.446, 124.803, 0.894
8.0 : 0.605, 4.301, 2.149, 127.621, 4.436, 124.798, 0.885
9.0 : 0.589, 5.154, 2.088, 126.945, 4.425, 124.794, 0.878
10.0 : 0.575, 4.987, 2.033, 126.613, 4.415, 124.789, 0.870
noint : 0.850, 1.264, 8.670, 7.085, 4.648, 124.874, 0.978
alpha : -0.02687, 0.0049810
