0.1 : 0.958, 1.274, 4.816, 94.178, 2.045, 124.910, 0.719
0.2 : 0.952, 1.283, 4.706, 128.231, 2.044, 124.909, 0.717
0.3 : 0.948, 1.291, 4.628, 152.057, 2.043, 124.909, 0.716
0.4 : 0.944, 1.297, 4.567, 169.466, 2.043, 124.908, 0.714
0.5 : 0.941, 1.303, 4.515, 183.765, 2.042, 124.908, 0.713
0.6 : 0.938, 1.308, 4.472, 195.854, 2.042, 124.907, 0.712
0.7 : 0.935, 1.312, 4.434, 206.668, 2.042, 124.907, 0.711
0.8 : 0.932, 1.316, 4.402, 216.660, 2.042, 124.906, 0.710
1.0 : 0.927, 1.323, 4.351, 235.117, 2.041, 124.906, 0.708
1.1 : 0.924, 1.326, 4.333, 243.743, 2.041, 124.905, 0.707
1.2 : 0.921, 1.329, 4.315, 251.960, 2.041, 124.905, 0.706
1.4 : 0.916, 1.334, 4.283, 266.689, 2.041, 124.904, 0.704
1.6 : 0.911, 1.336, 4.258, 280.490, 2.041, 124.904, 0.702
1.8 : 0.906, 1.339, 4.231, 289.728, 2.041, 124.903, 0.700
2.0 : 0.896, 1.314, 4.254, 265.637, 2.043, 124.903, 0.696
3.0 : 0.875, 1.319, 4.163, 195.507, 2.044, 124.900, 0.688
4.0 : 0.859, 1.322, 4.086, 203.266, 2.045, 124.899, 0.681
5.0 : 0.845, 1.325, 4.011, 216.572, 2.046, 124.897, 0.675
6.0 : 0.833, 1.327, 3.954, 299.697, 2.046, 124.896, 0.670
7.0 : 0.823, 1.332, 3.894, 299.398, 2.047, 124.894, 0.665
8.0 : 0.807, 1.275, 3.871, 299.168, 2.051, 124.893, 0.657
9.0 : 0.799, 1.280, 3.806, 284.998, 2.051, 124.892, 0.653
10.0 : 0.792, 1.283, 3.749, 288.486, 2.051, 124.891, 0.650
noint : 0.988, 1.372, 4.950, 9.933, 2.040, 124.912, 0.732
alpha : -0.00685, 0.0049606
