0.1 : 0.719, 1.138, 8.678, 20.033, 1.980, 124.935, 0.789
0.2 : 0.701, 1.138, 8.110, 92.722, 1.979, 124.935, 0.783
0.3 : 0.687, 1.158, 7.752, 238.595, 1.979, 124.935, 0.778
0.4 : 0.677, 1.185, 7.466, 299.871, 1.978, 124.935, 0.775
0.5 : 0.669, 1.213, 7.243, 299.507, 1.977, 124.935, 0.773
0.6 : 0.662, 1.239, 7.070, 299.849, 1.976, 124.935, 0.771
0.7 : 0.655, 1.265, 6.909, 299.992, 1.975, 124.935, 0.769
0.8 : 0.648, 1.290, 6.790, 299.996, 1.974, 124.935, 0.767
1.0 : 0.637, 1.339, 6.585, 300.000, 1.972, 124.936, 0.764
1.1 : 0.657, 2.212, 6.292, 0.511, 1.949, 124.936, 0.790
1.2 : 0.650, 2.249, 6.240, 0.479, 1.950, 124.936, 0.787
1.4 : 0.637, 2.302, 6.149, 0.464, 1.951, 124.936, 0.780
1.6 : 0.624, 2.338, 6.065, 0.506, 1.952, 124.936, 0.774
1.8 : 0.614, 2.402, 5.958, 0.470, 1.953, 124.936, 0.769
2.0 : 0.605, 2.462, 5.863, 0.446, 1.954, 124.936, 0.763
3.0 : 0.570, 3.455, 5.505, 262.980, 1.952, 124.936, 0.748
4.0 : 0.541, 5.075, 5.260, 10.000, 1.952, 124.936, 0.732
5.0 : 0.515, 6.019, 5.122, 10.000, 1.952, 124.937, 0.719
6.0 : 0.493, 3.826, 5.040, 10.000, 1.952, 124.937, 0.706
7.0 : 0.474, 3.790, 4.980, 10.000, 1.951, 124.937, 0.695
8.0 : 0.456, 1.913, 4.929, 0.001, 1.952, 124.937, 0.685
9.0 : 0.433, 1.513, 4.893, 0.957, 1.959, 124.937, 0.663
10.0 : 0.421, 1.533, 4.858, 0.980, 1.957, 124.937, 0.656
noint : 0.765, 1.127, 11.151, 7.721, 1.980, 124.935, 0.806
alpha : 0.00080, 0.0084126
