0.1 : 0.634, 0.936, 30.779, 96.609, 0.759, 124.872, 0.909
0.2 : 0.635, 0.947, 27.645, 127.423, 0.758, 124.869, 0.913
0.3 : 0.636, 0.957, 25.241, 143.443, 0.757, 124.866, 0.915
0.4 : 0.638, 0.966, 23.246, 155.976, 0.757, 124.863, 0.918
0.5 : 0.641, 0.976, 21.491, 166.958, 0.756, 124.861, 0.921
0.6 : 0.643, 0.986, 19.944, 176.698, 0.755, 124.859, 0.924
0.7 : 0.646, 0.994, 18.598, 184.576, 0.755, 124.858, 0.926
0.8 : 0.648, 1.002, 17.465, 190.503, 0.754, 124.856, 0.928
1.0 : 0.651, 1.016, 15.756, 196.756, 0.754, 124.853, 0.932
1.1 : 0.653, 1.022, 15.156, 198.433, 0.753, 124.852, 0.933
1.2 : 0.654, 1.029, 14.673, 199.516, 0.753, 124.850, 0.935
1.4 : 0.656, 1.042, 13.935, 201.657, 0.752, 124.848, 0.938
1.6 : 0.658, 1.054, 13.418, 204.006, 0.751, 124.846, 0.940
1.8 : 0.659, 1.065, 13.031, 206.705, 0.751, 124.844, 0.943
2.0 : 0.659, 1.075, 12.724, 210.052, 0.750, 124.842, 0.945
3.0 : 0.654, 1.085, 11.864, 195.419, 0.749, 124.833, 0.944
4.0 : 0.654, 1.114, 11.004, 219.630, 0.748, 124.825, 0.948
5.0 : 0.657, 1.148, 10.135, 248.120, 0.746, 124.819, 0.954
6.0 : 0.659, 1.178, 9.456, 277.674, 0.745, 124.813, 0.958
7.0 : 0.658, 1.201, 8.994, 266.325, 0.744, 124.807, 0.960
8.0 : 0.658, 1.225, 8.645, 208.757, 0.744, 124.802, 0.961
9.0 : 0.660, 1.257, 8.327, 289.276, 0.742, 124.797, 0.967
10.0 : 0.656, 1.274, 8.159, 191.340, 0.743, 124.793, 0.965
noint : 0.642, 0.964, 37.934, 16.736, 0.759, 124.881, 0.914
alpha : -0.02784, 0.0129875
